Client;Gamme;Lundi;Mardi;Mercredi;Jeudi;Vendredi;;S;COEF;;JOUR;COEF;Commentaire
PART;S2S;1,31;1,27;1,12;1,14;1,05;;202006;0,967026;;21/12/2020;0,88;réajustement
PART;MKP;1,23;1,17;1,13;1,06;0,92;;202007;0,950992;;22/12/2020;0,73;réajustement
PART;REEX;1,43;1,23;1,13;1,07;0,94;;202008;0,945982;;23/12/2020;0,45;réajustement
PART;LREL;1,34;1,23;1,16;1,09;1;;202009;0,963018;;24/12/2020;0,35;réajustement
PART;LEL;1,29;1,23;1,2;1,12;0,95;;202010;0,987068;;;;
PART;LRTEL;0,96;1,23;1,25;0,9;0,88;;;;;;;
PART;MTEL;1,49;1,27;1,15;1,14;1,05;;;;;;;
